bjd,flux
0,0.99777746
0.01525028,1.0016004
0.030528892,1.0008301
0.045789443,1.0025897
0.061042786,0.99961492
0.076308891,0.99992959
0.091528617,0.99835766
0.10676417,0.99994186
0.12198973,0.99949687
0.13723584,1.0026346
0.15251417,0.99928975
0.1677514,1.0024671
0.18295639,0.99837123
0.19821167,1.0001813
0.21344556,1.0005411
0.22865056,0.99928867
0.24389195,0.99646978
0.25916695,0.99951597
0.27442056,1.0001856
0.28965334,0.99985722
0.30492778,0.99869704
0.32022556,1.0007463
0.33550084,1.0014558
0.35073611,1.0015605
0.36600167,0.99817956
0.38126417,0.99998862
0.39654251,1.0006753
0.41182251,0.99896385
0.42705611,1.0002181
0.44232,0.99979613
0.45756973,0.99916517
0.47286139,0.99893449
0.48815612,0.9997043
0.50344251,0.99901296
0.51870889,1.0000676
0.53393139,1.001421
0.54920861,0.99924076
0.56445834,0.99867303
0.57973584,1.0010348
0.59501111,1.0006166
0.61029195,1.0028383
0.62555556,1.0016798
0.64076751,1.0018281
0.65605611,0.99982464
0.67133445,0.99832424
0.68656972,1.0013385
0.70187556,0.9994923
0.71725361,0.9997161
0.73254195,0.99995807
0.74780833,0.99991258
0.76308389,0.99836604
0.77836167,1.0006661
0.79361223,0.99828331
0.80886139,1.0008142
0.82413889,1.0004166
0.83939195,1.0003263
0.85457001,1.0010312
0.86982306,0.99919231
0.88509722,0.99816638
0.90031972,1.0007885
0.91554167,0.99767806
0.93077806,0.99846427
0.94601417,1.0010521
0.96127889,0.99840332
0.97650084,1.0004347
0.99167083,0.99873298
1.0069478,1.0006211
1.0222089,0.99847757
1.0374836,1.0022526
1.0527361,0.99756576
1.0679728,0.99769758
1.0832061,0.99954364
1.0984478,1.0011939
1.1136675,1.0002592
1.128945,1.0038325
1.1441675,0.99982888
1.1594444,1.0016857
1.1746669,0.99857791
1.1899308,1.000006
1.2052222,0.99970107
1.2204728,0.99740496
1.2357369,1.0029371
1.2510036,1.0007656
1.2663089,1.0005025
1.2815395,1.0019797
1.2968064,1.0011408
1.312112,1.0011079
1.3273611,0.9996534
1.3425975,0.99961772
1.3578336,0.99933311
1.373042,0.99968325
1.3882922,1.0017816
1.4035694,1.0003555
1.4189172,1.0002666
1.4341536,1.0012395
1.4494283,0.99950678
1.4646975,1.0008097
1.4799345,1.000025
1.4951947,1.0018319
1.5104283,0.99922914
1.5257222,1.0005457
1.5410417,1.0011247
1.5563194,0.99836673
1.5716247,1.0000407
1.5868903,0.99957973
1.6021228,1.0002863
1.61739,0.99714841
1.632642,0.99862505
1.6479064,1.0028835
1.6631806,0.99967955
1.6784728,0.99885892
1.6937086,1.0020437
1.7089725,0.99997074
1.7242253,0.99950079
1.7394858,0.99922855
1.7547206,1.0010658
1.7699731,0.9992611
1.7852481,0.99868727
1.8005033,1.0003819
1.8157786,1.0003616
1.8310419,1.0001225
1.8463339,0.999485
1.8616,1.0006343
1.8769061,0.99858586
1.8921694,0.99986827
1.9073889,1.0004079
1.9226292,0.9996836
1.9378758,1.0001688
1.9532125,0.99912208
1.9684586,0.99968921
1.9837683,0.99808275
1.9990139,1.0007545
2.014295,1.0002406
2.0294864,0.99948109
2.0448061,0.99991935
2.0600306,0.9988734
2.0752919,1.0012215
2.0905183,0.99985173
2.1057931,1.0011617
2.1210425,1.0001973
2.13632,0.99916306
2.1516083,1.000526
2.1668783,1.0007093
2.1821397,1.0004951
2.1973919,0.99859337
2.2126089,1.0003947
2.2278475,1.0008614
2.2431392,0.99823405
2.2584036,1.0009953
2.2736678,1.000273
2.2888758,0.99835025
2.3041003,0.9985021
2.3193892,0.9998948
2.3346389,1.000242
2.3498756,1.0003134
2.3651808,1.0002063
2.3804314,1.0000225
2.3957253,1.0002537
2.4110142,0.99805292
2.4262372,0.99983989
2.4415175,1.0012171
2.4568092,1.000088
2.4720583,1.0011589
2.4873503,1.001255
2.5025975,1.0012908
2.5179058,1.0003158
2.5331528,0.99916296
2.5483897,1.0002523
2.5636811,1.0008595
2.5789317,0.99890532
2.5941786,0.99830437
2.6094033,1.0014304
2.6246408,0.99797889
2.6398889,0.99948271
2.6551086,0.99913759
2.6703617,1.0015689
2.6856392,1.0023333
2.7009028,1.0014117
2.7161842,1.0010152
2.7314317,0.99974338
2.7467508,0.99997455
2.7620256,1.000984
2.7773061,1.0006022
2.7925697,0.99802437
2.8078222,0.9985096
2.823067,0.99959836
2.8383364,0.99978132
2.8535731,1.000434
2.868875,0.99864947
2.8841281,1.0010533
2.8994028,1.0005172
2.9146953,0.99871301
2.9299764,0.99792437
2.9452811,0.99960648
2.9605672,0.99992241
2.9758753,1.0020874
2.9911847,0.99890104
3.0064753,0.99867712
3.0217206,1.0009978
3.0369892,0.99999693
3.0522511,1.0011732
3.0675036,0.99799882
3.0827508,0.99938262
3.0980308,1.0002534
3.1132761,1.0008303
3.1285556,1.0004483
3.1438331,1.0023942
3.1591422,0.99959136
3.1743895,0.9991381
3.189685,1.0007416
3.2049589,0.99867772
3.2202361,1.0013765
3.2355703,0.99914327
3.2508478,1.0002487
3.266125,1.0000755
3.2814278,0.99959628
3.2967083,0.99981888
3.3120008,0.99966016
3.3577369,1.00041
3.3730283,1.0004596
3.4340308,1.0032593
